,ticker,time,volume_adi,volume_mfi,volatility_atr,trend_sma_slow,trend_macd,momentum_rsi,momentum_roc,momentum_ppo,others_dlr,others_cr
3821,good,2016,-8947501449,59.2513477,6.204352858,10.75346982,0.10212796,57.51487371,1.865235499,0.936748612,0.16288257,185.2404741
3822,good,2017,-10636156155,54.59152735,6.65660005,14.63127366,0.084800168,54.95714185,0.902619848,0.588922978,0.046590504,284.2502432
3823,good,2018,-11991179299,49.87612674,4.965883581,14.10615012,-0.034738274,49.13879429,-0.374997241,-0.251475191,-0.032444457,265.75053
3824,good,2019,-12822713980,54.92744364,4.331911712,17.23535058,0.11780092,56.71169405,1.379362339,0.707151648,0.106376893,354.4710408
3825,good,2020,-13534492384,47.55524448,2.652030475,15.71065306,-0.061702998,49.31785846,0.543800477,-0.492035747,-0.04357181,306.7413963
3826,joe,2006,-1253198408,43.42617212,2.412685883,53.09603675,-0.342625805,45.79815596,-0.971123257,-0.62351961,-0.085530822,48.42099881
3827,joe,2007,-1542056135,46.80390732,1.686998575,44.71564845,-0.628940318,44.15938214,-1.993368973,-1.631391011,-0.159393388,23.57100881
3828,joe,2008,-1700622524,46.31693658,1.926413159,35.05491831,-0.117686246,48.72720319,-0.617581104,-0.512017021,-0.149610811,-1.600233972
3829,joe,2009,-1815208889,54.6188126,1.235277234,25.11490195,0.053273921,51.02663481,1.611063357,0.042724753,0.068331924,-28.39734736
3830,joe,2010,-1945974742,45.60640642,0.967773817,25.96729504,-0.229977422,47.84600892,-1.027827719,-1.081664455,-0.11083116,-27.67223402
3831,joe,2011,-2133815045,49.62065189,0.890913495,20.37351628,-0.139137932,45.94149866,-1.36142149,-0.918099221,-0.158364394,-43.12765381
3832,joe,2012,-2244757190,55.77291715,0.611423353,17.76132758,0.197472815,55.24492858,2.264298351,1.058615848,0.181537497,-48.68331187
3833,joe,2013,-2339642680,45.2805818,0.576740525,20.55310223,-0.100090208,47.18606464,-0.808734442,-0.531627932,-0.073244887,-42.37320205
3834,joe,2014,-2450626705,52.15841902,0.564976086,20.11877117,0.00891532,49.36075256,0.140996788,0.002698696,-0.016897773,-43.04375183
